"elev","alt","x","y"
1157.11844926292,1164.160034,490730.507926097,4797690.80740991
1157.11844926292,1159.579956,490733.595356834,4797695.80065703
1157.11981738939,1155.539917,490726.22866067,4797703.47354049
1157.11981738939,1154.589966,490725.012640903,4797703.47520667
1157.11981738939,1159.73999,490727.444680435,4797703.47187453
1157.11981738939,1155.47998,490724.361205479,4797701.36605451
1157.11981738939,1154.609985,490725.583616632,4797706.02868912
1158.1186486348,1155.400024,490719.423670283,4797706.9255722
1157.11981738939,1158.01001,490723.146402986,4797702.25615929
1157.11981738939,1151.660034,490725.013249607,4797703.91942581
1157.11981738939,1156.02002,490723.716161943,4797703.9212033
1157.11981738939,1152.299927,490723.152795669,4797706.92046019
1157.11981738939,1152.530029,490724.372162929,4797709.36199893
1157.11844926292,1161,490724.353596147,4797695.81331539
1157.11708114521,1162.339966,490729.931171373,4797684.03384546
1157.11708114521,1159.97998,490724.977792645,4797678.0436618
1157.11708114521,1159.579956,490729.263916728,4797670.37499592
1157.11708114521,1176.059937,490730.486330006,4797675.03763119
1156.11552188665,1169.369995,490739.774546952,4797649.70438139
1157,1175.890015,490724.26882867,4797633.95580484
1157.11042770131,1168.799927,490708.772489493,4797625.09265976
1158,1174.47998,490698.320397554,4797629.32710407
1158.10688446443,1164.699951,490666.687305393,4797617.59881996
1159,1163.419922,490654.372941806,4797623.50172492
1160,1162.390015,490620.308750402,4797612.55439922
1159.84078290274,1147.48999,490630.842350112,4797608.65288661
1159.26444680155,1141.359985,490633.300241492,4797627.30672181
1159.27317208813,1162.130005,490650.040319477,4797656.15787365
1159.11238966498,1153.339966,490673.56993908,4797670.4515056
1157.11981738939,1155.51001,490723.146859606,4797702.58932364
1158.1186486348,1160.75,490720.630859049,4797700.48272758
1157.11981738939,1155.75,490721.847488266,4797700.92527974
1157.11981738939,1155.459961,490722.50942752,4797710.69721176
1157.11981738939,1156.280029,490721.849315002,4797702.25793714
1157.11981738939,1152.209961,490721.855708579,4797706.92223805
1158.1186486348,1157.890015,490720.063991937,4797700.9277247
1157.11981738939,1151.23999,490721.855099666,4797706.47801891
1157.11981738939,1158.51001,490724.366988576,4797705.58613628
1157.11981738939,1147.919922,490722.501816646,4797705.14447255
1157.11981738939,1153.199951,490723.149751534,4797704.69936452
1158.1186486348,1144.02002,490721.285797178,4797705.1461394
1157.11981738939,1149.01001,490722.498315647,4797702.59021253
1157.11981738939,1156.179932,490721.849771686,4797702.59110149
1158.1186486348,1153.679932,490718.773908508,4797706.03802318
1158.1186486348,1157.140015,490721.28062111,4797701.37027677
1157.11981738939,1157,490722.494357997,4797699.70278818
1157.11981738939,1159.429932,490724.364705774,4797703.92031452
1157.11844926292,1150.949951,490724.352530841,4797695.03593191
1157.11981738939,1154.969971,490724.361205479,4797701.36605451
1157.11981738939,1155.209961,490724.359379239,4797700.03339711
1157.11981738939,1160.419922,490725.013249607,4797703.91942581
1157.11981738939,1159.400024,490721.845813759,4797699.70367713
1157.11981738939,1159.429932,490724.361814226,4797701.81027364
1157.11844926292,1156.76001,490722.49146587,4797697.59274731
1157.11981738939,1165.809937,490725.013249607,4797703.91942581
1157.11981738939,1152.929932,490723.144576506,4797700.92350189
1157.11844926292,1161.059937,490729.300574062,4797697.13919787
1157.11981738939,1154.02002,490725.009749557,4797701.36516579
1158.1186486348,1167.929932,490719.42016812,4797704.37131217
1157.11981738939,1155.199951,490726.230334388,4797704.69514311
1157.11981738939,1156.369995,490729.302855645,4797698.8050196
1157.11981738939,1155.25,490725.576008291,4797700.47594995
1157.11981738939,1161.910034,490729.957179572,4797703.02421311
1157.11981738939,1149.22998,490723.143358853,4797700.03506363
1158.11727845719,1157.47998,490720.055313281,4797694.59760211
1157.11981738939,1154.689941,490728.659483272,4797702.58177053
1157.11981738939,1154.969971,490727.443463346,4797702.58343627
1157.11981738939,1154.609985,490728.661308668,4797703.91442793
1157.11981738939,1158.97998,490725.007923444,4797700.0325084
